,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.0,1.0662361783097698e-16,-1.1128352538519924e-16,3.31163237101566e-17,-5.4132074227748685e-17,-6.689567888824105e-17,-3.506591340691137e-17,-1.3000285847046075e-16,3.7511327032219165e-17,-2.1936606807158467e-17,4.862096311540982e-17,-5.562195088335236e-17,-1.3366272153641768e-16,3.0420882340252756e-17,6.395729687688548e-17
1,3.3424672955481597e-16,0.9999999999999999,2.0564597831617517e-17,-3.073000550297438e-17,-3.043398243716397e-17,2.1120382598680867e-16,6.249895261216088e-19,-6.947669320360988e-17,1.8029049162037678e-16,1.4660384862153578e-16,-1.1674861170658267e-17,9.809185709576861e-17,-1.343437032027448e-16,-1.2013221811648376e-16,-2.2488558210859853e-17
2,1.7307877052145978e-17,-4.7186510326623404e-17,1.0000000000000002,9.728424699708303e-17,5.998265617633446e-17,2.844145737374237e-16,-5.407076292307075e-17,2.3284540115530787e-16,-4.1790867779874434e-17,9.867142817042965e-17,-8.353443769132299e-17,1.8091111047406154e-16,-2.963803445660176e-16,-1.0597580793969267e-16,2.851975980984953e-17
3,-1.3576848789842516e-16,2.1504561129228504e-17,-8.580598752762533e-17,1.0,5.475995405884301e-18,1.8955034483722965e-18,-3.826228990930311e-17,-1.4929312199017656e-16,-1.1350955016885415e-16,-6.5527197168879654e-18,5.545598207568302e-18,-1.6515265017890642e-17,6.83119928951794e-17,-1.0751376831721144e-17,4.272283994739506e-18
4,6.81682727706155e-17,5.814272287051095e-17,-1.3443029695768294e-17,-7.307535177007778e-17,1.0,-1.0455394141148962e-16,1.3830079211550382e-17,-2.1882501102682174e-17,2.906631380765359e-17,1.3516270310627061e-17,3.3277224082627666e-18,4.548947631158761e-19,-6.876293316428404e-17,-2.6335139762589506e-17,1.1751964271452442e-17
5,-6.95920143521367e-17,-6.404157816371897e-17,-4.5811624974738525e-17,-5.694024614735634e-17,4.5578158463993565e-17,1.0,-3.3481735867561724e-18,-3.1807024168886015e-17,2.4316434992579186e-17,-2.0674746987852445e-17,2.155588514283612e-17,-2.6042896317663524e-17,2.2439709128903517e-17,-7.286713192015993e-17,-9.010823222277311e-17
6,-1.4918686701721186e-16,5.678618800846995e-17,-2.8699993928486563e-17,3.574581664694875e-18,-6.887637396468181e-17,-1.1283535214368938e-16,1.0000000000000002,-7.30702077510035e-17,-7.310644433750836e-17,-1.3442856679084263e-17,7.845964300967382e-18,7.246400803810387e-18,-9.849678262491397e-17,2.1302468403546017e-16,1.834135561895072e-16
7,-5.735245392223369e-18,-6.4818976374822886e-18,-4.448340398800203e-17,9.56148543819254e-17,1.9013725130376685e-17,-2.6862571123617525e-17,-2.131809848682061e-18,1.0,2.0235071104894155e-17,3.090975965578907e-17,3.37819986913514e-17,1.6951064129640028e-18,2.5034983739550317e-17,2.7176117551779093e-17,1.875407205366338e-17
8,5.050533766450476e-17,-6.232833908186707e-18,2.8173436882103386e-16,1.8216539418153687e-16,2.1456230189113975e-17,-6.245622345323341e-17,-5.57344362107469e-17,1.1759621777836063e-17,1.0000000000000002,9.482334689860308e-17,4.28306471265508e-17,1.9943065661214462e-16,-3.993920692980288e-17,1.0653894226688455e-17,-5.1890045300160374e-17
9,-1.0482173082037235e-16,-1.5989863151850517e-16,-9.476131696562175e-17,2.872010400380512e-17,-2.229536707898185e-17,4.613113877956752e-17,5.657956605815458e-17,7.918526680555903e-17,-1.2609001882347657e-16,1.0,-1.455547608761494e-16,4.6468173721974634e-17,-5.0805220366516854e-17,-1.5007588716880672e-18,-1.4830638241170684e-16
10,-9.938729883357677e-17,-5.676037593731805e-17,4.0585400565189114e-17,1.8211652167671413e-17,6.209372650586131e-17,1.3234897756747404e-16,-3.7976146104608356e-17,6.636069651106094e-18,5.997112978493494e-17,5.589322395999869e-17,1.0,-4.7977608773862384e-18,-1.4617015098767263e-16,-8.262164139905378e-17,-2.4122889334598566e-16
11,-2.551885162293924e-17,4.03064204944391e-17,4.661308343163138e-18,-1.5505463168523208e-17,-4.137686358336661e-17,-1.176665900567656e-16,-1.9367704160355947e-17,-4.354032476781259e-17,-8.195931269747448e-17,-4.084496355136626e-17,8.295407836048996e-17,0.9999999999999999,7.035009795161533e-17,-2.0633433699415502e-18,9.705210564045811e-17
12,8.107842385636778e-17,1.2735207326204629e-17,1.6212125470814578e-16,1.1648409097216046e-17,-1.2478148560162796e-16,-1.7435458476434235e-16,-4.619256312775256e-17,1.1651294588599131e-17,-8.960487912199779e-17,-4.5203838188710464e-17,1.5078631153531734e-16,2.163965127047689e-16,1.0000000000000002,5.1565256012594094e-17,7.07511036528029e-17
13,-1.2446189443118236e-16,1.4770635689012535e-16,-2.1853693288338677e-18,-5.541121970089081e-17,-2.846732648702516e-17,-3.2402386733253053e-16,-1.0997276171759068e-16,5.777979004276813e-17,-9.046460068272542e-17,-6.525105436013445e-17,1.1165344606021325e-16,-4.55757811419362e-18,3.0835986708467373e-16,1.0000000000000002,2.498463228384728e-16
14,-5.5145385066804555e-17,-2.6288068235974337e-17,-4.603486389479866e-18,-1.4773603196304517e-16,3.2092439209457015e-17,1.5286643363152925e-16,-4.4963622831230605e-17,1.2699862956208516e-16,4.5407401531553795e-17,4.0010118755551374e-17,-2.7772340554728514e-17,-2.638994773991425e-16,-5.126977291679551e-17,8.28346916028015e-17,0.9999999999999999
15,-25.549606622407033,51.44282726475797,-35.9084615415375,-28.432712301960663,-26.020929307683424,-44.82332941387308,4.577499984996642,-21.75880689514723,-33.62401611389939,-30.30925413679607,8.717317269302297,-19.173340519112177,42.10565695292621,45.992149888036586,60.61185259124246
